@RELATION AccelerometerData

@ATTRIBUTE aXstd  NUMERIC 
@ATTRIBUTE aYstd   NUMERIC 
@ATTRIBUTE aZstd  NUMERIC
@ATTRIBUTE aXrange  NUMERIC 
@ATTRIBUTE aYrange   NUMERIC 
@ATTRIBUTE aZrange  NUMERIC 
@ATTRIBUTE label   NUMERIC 

@Data
0.065646559,0.059929719,0.148898499,0.2106894,0.2011125,0.46926,0
0.060134048,0.055214277,0.14436716,0.2011125,0.172382,0.46926,0
0.060976526,0.058432274,0.140267621,0.2011125,0.1915356,0.46926,0
0.061506316,0.058965466,0.128409034,0.2011125,0.1915356,0.45968,0
0.058716114,0.060871151,0.131059892,0.2011125,0.1915356,0.45968,0
0.058024763,0.063892426,0.130933795,0.2011125,0.1915356,0.45968,0
0.058916904,0.060967069,0.12692193,0.2011125,0.1915356,0.45968,0
0.055617783,0.06770969,0.126015591,0.1915365,0.248996,0.45968,0
0.059314485,0.063631681,0.125095226,0.1915365,0.248996,0.45968,0
0.060453562,0.064818727,0.111241636,0.1915365,0.248996,0.40222,0
0.060576705,0.06975142,0.104042516,0.1915365,0.248996,0.36392,0
0.064277157,0.068718152,0.103584075,0.2011134,0.248996,0.36392,0
0.066589881,0.062819336,0.094721697,0.2298438,0.248996,0.32561,0
0.062892435,0.061575152,0.096601999,0.2298438,0.248996,0.32561,0
0.063409803,0.061924191,0.091652553,0.2298438,0.248996,0.30646,0
0.05708251,0.067777424,0.083832347,0.2202668,0.277727,0.2873,0
0.049355365,0.072041147,0.083647649,0.1628058,0.277727,0.2873,0
0.046767238,0.072391957,0.083647649,0.1628058,0.277727,0.2873,0
0.043771298,0.072889078,0.083191436,0.1628058,0.277727,0.2873,0
0.044804181,0.080558993,0.077238908,0.1628058,0.363918,0.2873,0
0.046551044,0.077771318,0.079000139,0.1628058,0.363918,0.2873,0
0.048728896,0.082375746,0.079343339,0.1628058,0.363918,0.2873,0
0.050503471,0.08223088,0.078534983,0.1628058,0.363918,0.27773,0
0.051439124,0.090873625,0.077158227,0.1628058,0.402225,0.27773,0
0.050063439,0.101798194,0.08248932,0.1628058,0.450109,0.32561,0
0.047002016,0.085575781,0.078996658,0.1628058,0.3543414,0.32561,0
0.047344683,0.077582381,0.08271701,0.1628058,0.2968806,0.32561,0
0.046806463,0.08406877,0.086365934,0.1628058,0.2968806,0.32561,0
0.047718524,0.081480168,0.086270268,0.1628058,0.277727,0.32561,0
0.05036706,0.081682514,0.08713882,0.1628058,0.277727,0.32561,0
0.049990082,0.087640739,0.084811664,0.1628058,0.277727,0.32561,0
0.048747709,0.090067726,0.084260095,0.1628058,0.277727,0.32561,0
0.045285206,0.086216459,0.083559111,0.1628058,0.277727,0.32561,0
0.046276861,0.080359584,0.080666208,0.1628058,0.2681502,0.32561,0
0.044742721,0.072941047,0.083284381,0.1628058,0.2394197,0.35434,0
0.044123489,0.071467604,0.083263751,0.1628058,0.2394197,0.35434,0
0.0436638,0.069408717,0.089730377,0.1628058,0.2394197,0.37349,0
0.046217364,0.065452376,0.089084004,0.1628058,0.2394197,0.37349,0
0.046274379,0.064128785,0.087210935,0.1628058,0.2489967,0.37349,0
0.047254951,0.067711404,0.087010963,0.1628058,0.2489967,0.37349,0
0.046622353,0.066045217,0.08919295,0.1628058,0.2489967,0.37349,0
0.044019391,0.067473996,0.094131027,0.1628058,0.2489967,0.37349,0
0.040094023,0.061612434,0.093348078,0.1532288,0.201113,0.37349,0
0.0402339,0.063083489,0.091980858,0.1532288,0.201113,0.37349,0
0.041810144,0.063083489,0.077146164,0.1532288,0.201113,0.27773,0
0.046926358,0.06004433,0.076860287,0.1819598,0.191536,0.27773,0
0.049661103,0.056533552,0.07628383,0.1819598,0.191536,0.27773,0
0.045655874,0.056240787,0.074484711,0.1628062,0.191536,0.27773,0
0.042300871,0.056095865,0.075316104,0.1628062,0.191536,0.27773,0
0.042858223,0.056095865,0.075384597,0.1628062,0.191536,0.27773,0
0.045011047,0.053630118,0.078600906,0.1628062,0.191536,0.27773,0
0.047160345,0.053224555,0.073586513,0.1723822,0.191536,0.27773,0
0.048161009,0.053706997,0.07390359,0.1723822,0.191536,0.27773,0
0.045555394,0.053430911,0.073959257,0.1723822,0.191536,0.27773,0
0.045676029,0.053430911,0.068611523,0.1723822,0.191536,0.27773,0
0.050483064,0.053619403,0.068666657,0.2202662,0.191536,0.27773,0
0.048935581,0.057178794,0.074641911,0.2202662,0.191536,0.32561,0
0.039253299,0.057178794,0.07383913,0.172382,0.191536,0.32561,0
0.037615684,0.054055934,0.07775974,0.172382,0.181959,0.32561,0
0.038124258,0.050394351,0.079146759,0.172382,0.181959,0.32561,0
0.038055026,0.050537457,0.079521152,0.172382,0.181959,0.32561,0
0.03472497,0.048303499,0.076140527,0.172382,0.181959,0.32561,0
0.02783455,0.043935944,0.074998174,0.124498,0.172382,0.32561,0
0.025892791,0.043177858,0.074920336,0.114921,0.172382,0.32561,0
0.025387581,0.041479746,0.071632976,0.114921,0.143652,0.32561,0
0.025133414,0.044508938,0.072927114,0.114921,0.153229,0.35434,0
0.025133414,0.044508938,0.072562835,0.114921,0.153229,0.35434,0
0.027302294,0.048218052,0.076314438,0.114921,0.153229,0.35434,0
0.032879947,0.052565649,0.079117159,0.134075,0.172382,0.35434,0
0.034592646,0.053190127,0.079968926,0.134075,0.172382,0.35434,0
0.035092788,0.058340015,0.078999685,0.134075,0.2011127,0.35434,0
0.039264948,0.055636304,0.079556638,0.172383,0.2011127,0.35434,0
0.039648467,0.0580544,0.079624386,0.172383,0.2011127,0.35434,0
0.039587693,0.061506373,0.079624386,0.172383,0.2202664,0.35434,0
0.039729348,0.059459263,0.082409415,0.172383,0.2202664,0.35434,0
0.035948196,0.054931207,0.086799375,0.172383,0.2202664,0.36391,0
0.035653575,0.055054207,0.072360603,0.172383,0.2202664,0.25857,0
0.035893937,0.051597196,0.072360616,0.172383,0.2202664,0.25857,0
0.035330571,0.044209275,0.075977629,0.172383,0.1532294,0.26815,0
0.0340584,0.043212607,0.076668443,0.172383,0.1532294,0.26815,0
0.035092909,0.039587708,0.081570698,0.172383,0.1532294,0.26815,0
0.034856896,0.035092794,0.085555774,0.172383,0.1436524,0.26815,0
0.035781983,0.030147857,0.085843485,0.172383,0.1244984,0.26815,0
0.036021478,0.029032,0.089300583,0.172383,0.1244984,0.26815,0
0.037398715,0.028730317,0.089299314,0.172383,0.1244984,0.26815,0
0.041191479,0.029868974,0.086673496,0.172383,0.1244984,0.26815,0
0.041180343,0.025804039,0.087374202,0.172383,0.1149214,0.26815,0
0.041091165,0.032135846,0.084275318,0.172383,0.1436524,0.26815,0
0.037882959,0.035868317,0.081148577,0.172383,0.1436524,0.26815,0
0.036391939,0.03751798,0.079290908,0.172383,0.1436524,0.26815,0
0.035740281,0.036966964,0.083378573,0.172383,0.1436524,0.26815,0
0.031512607,0.044652993,0.082453522,0.134075,0.1819594,0.26815,0
0.03163244,0.06387814,0.089831347,0.134075,0.2873044,0.30645,0
0.031762637,0.061059233,0.095646663,0.134075,0.2681507,0.30645,0
0.032841589,0.061059233,0.095646663,0.134075,0.2681507,0.30645,0
0.033600813,0.061937282,0.097187853,0.134075,0.2681507,0.30645,0
0.036275113,0.066919576,0.095739316,0.143652,0.2681507,0.30645,0
0.037016551,0.070013983,0.09545513,0.143652,0.2681507,0.30645,0
0.037615658,0.068477577,0.093544371,0.143652,0.2585739,0.30645,0
0.038697279,0.067003498,0.097222317,0.143652,0.2585739,0.30645,0
0.037979604,0.065814071,0.093151212,0.143652,0.2585739,0.30645,0
0.038018824,0.067777615,0.088754994,0.143652,0.2585739,0.30645,0
0.037028928,0.068155436,0.090189836,0.143652,0.2585739,0.30645,0
0.036901768,0.065263068,0.097500562,0.143652,0.2585739,0.38307,0
0.034566098,0.061952091,0.100919903,0.143652,0.2585739,0.38307,0
0.027669265,0.061545486,0.100287484,0.095768,0.2585739,0.38307,0
0.027669265,0.057959498,0.099795883,0.095768,0.2585739,0.38307,0
0.044704312,0.058103714,0.1096485,0.21069,0.2585739,0.40222,0
0.045567947,0.066230756,0.116798235,0.21069,0.2777275,0.40222,0
0.0454546,0.069746495,0.120168473,0.21069,0.2777275,0.40222,0
0.046865327,0.063270363,0.123399459,0.21069,0.2777275,0.40222,0
0.045728731,0.068666414,0.123652746,0.21069,0.2777275,0.40222,0
0.045688597,0.062129373,0.117900825,0.21069,0.2489965,0.39265,0
0.045688597,0.061612387,0.109874653,0.21069,0.2489965,0.36392,0
0.04475565,0.060417347,0.108234537,0.21069,0.2489965,0.36392,0
0.048101509,0.060529199,0.106749933,0.229844,0.2489965,0.36392,0
0.048823043,0.059306591,0.106310856,0.229844,0.2489965,0.36392,0
0.052670412,0.058245491,0.107127342,0.239421,0.2489965,0.36392,0
0.053928696,0.058245491,0.105095993,0.239421,0.2489965,0.36392,0
0.053355949,0.059430187,0.102980071,0.239421,0.2489965,0.36392,0
0.053928696,0.059674678,0.107950803,0.239421,0.2489965,0.36392,0
0.056006038,0.05495402,0.108004983,0.239421,0.2489965,0.36392,0
0.062173812,0.053157682,0.108586222,0.2777277,0.2489965,0.36392,0
0.065234958,0.05334499,0.102309577,0.2777277,0.2489965,0.36392,0
0.069448467,0.058598774,0.100720569,0.2777277,0.2489965,0.36392,0
0.069448467,0.062276856,0.10928091,0.2777277,0.2489965,0.3735,0
0.068958118,0.064062692,0.111379902,0.2777277,0.2489965,0.3735,0
0.057482874,0.064191417,0.105209368,0.1819597,0.2489965,0.3735,0
0.055726869,0.057658042,0.100043516,0.1819597,0.220266,0.3735,0
0.056503193,0.050809082,0.09636489,0.1819597,0.21069,0.3735,0
0.053875408,0.050666726,0.087380089,0.1628057,0.21069,0.30646,0
0.052127684,0.04603855,0.086259057,0.1628057,0.21069,0.30646,0
0.050621409,0.045069648,0.08780437,0.1628057,0.21069,0.30646,0
0.047833764,0.048858224,0.088079522,0.1532287,0.21069,0.30646,0
0.047060545,0.048729011,0.088079522,0.1532287,0.21069,0.30646,0
0.047344718,0.04941818,0.089954694,0.1532287,0.21069,0.30646,0
0.049946543,0.04980639,0.09016848,0.1723827,0.21069,0.30646,0
0.0482537,0.049522457,0.088006499,0.1723827,0.21069,0.30646,0
0.048606422,0.049787973,0.086799976,0.1723827,0.21069,0.28731,0
0.048782996,0.049787973,0.083174152,0.1723827,0.21069,0.28731,0
0.048888639,0.051685999,0.076249402,0.1723827,0.21069,0.28731,0
0.050548852,0.053103859,0.07882628,0.1723827,0.21069,0.28731,0
0.044724815,0.052288036,0.080274488,0.1723827,0.21069,0.28731,0
0.041235922,0.055037552,0.079451947,0.1723827,0.21069,0.28731,0
0.032458883,0.050935242,0.086482732,0.114922,0.201113,0.34477,0
0.033777758,0.044250711,0.080644385,0.114922,0.172383,0.25857,0
0.034048181,0.039074684,0.078242929,0.114922,0.143652,0.24899,0
0.033777758,0.037716081,0.07652278,0.114922,0.143652,0.24899,0
0.033161225,0.038498297,0.072777254,0.114922,0.143652,0.24899,0
0.033624719,0.038199353,0.070000596,0.114922,0.143652,0.24899,0
0.034031379,0.038006797,0.074049683,0.114922,0.143652,0.24899,0
0.034516382,0.036037305,0.074218293,0.114922,0.143652,0.24899,0
0.033433212,0.034675389,0.072522798,0.114922,0.143652,0.24899,0
0.034516382,0.033102338,0.073089546,0.114922,0.143652,0.24899,0
0.034459872,0.035171091,0.071721523,0.114922,0.143652,0.24899,0
0.03384556,0.036527015,0.074434012,0.114922,0.143652,0.25857,0
0.030925036,0.036901738,0.072256581,0.114922,0.143652,0.25857,0
0.031599798,0.036577228,0.072573122,0.114922,0.143652,0.25857,0
0.034988075,0.036876904,0.071286857,0.153229,0.143652,0.25857,0
0.03929993,0.038839218,0.071697509,0.162806,0.143652,0.25857,0
0.044919206,0.038426729,0.072010359,0.1819597,0.143652,0.25857,0
0.047884027,0.039602177,0.073523007,0.2011134,0.162806,0.25857,0
0.049983217,0.039183122,0.071928142,0.2011134,0.162806,0.25857,0
0.050530703,0.039183122,0.073951016,0.2011134,0.162806,0.25857,0
0.04954088,0.044248071,0.071467627,0.2011134,0.191536,0.25857,0
0.045615661,0.046472195,0.065057538,0.2011134,0.191536,0.23942,0
0.042839515,0.044660722,0.065057737,0.2011134,0.191536,0.23942,0
0.045976167,0.044032527,0.064845832,0.2011134,0.191536,0.23942,0
0.047680139,0.03865286,0.0653057,0.2011134,0.153229,0.23942,0
0.047874494,0.036275126,0.065198495,0.2011134,0.143652,0.23942,0
0.048634755,0.035040527,0.059454265,0.2011134,0.143652,0.23942,0
0.049695738,0.038720976,0.065535167,0.2011134,0.153229,0.23942,0
0.049587204,0.042061656,0.066585295,0.2011134,0.153229,0.23942,0
0.049808653,0.040188314,0.066300792,0.2011134,0.134075,0.23942,0
0.049510849,0.041465988,0.067330316,0.2011134,0.134075,0.23942,0
0.050173304,0.041091034,0.060968003,0.2011134,0.134075,0.22984,0
0.051358916,0.039729293,0.065577856,0.2011134,0.134075,0.22984,0
0.051918389,0.037124783,0.06588494,0.2011134,0.124498,0.22984,0
0.04978797,0.03584592,0.066586014,0.2011134,0.114922,0.22984,0
0.053875453,0.035637442,0.06991211,0.2394204,0.114922,0.22984,0
0.049661133,0.045978648,0.069607959,0.2394204,0.201113,0.22984,0
0.042333423,0.061342112,0.082321027,0.201113,0.325612,0.34476,0
0.039264929,0.064953128,0.081390739,0.172383,0.325612,0.34476,0
0.037858652,0.064405434,0.086694068,0.162806,0.325612,0.34476,0
0.047412389,0.063991145,0.085167652,0.191536,0.325612,0.34476,0
0.046710811,0.06666042,0.085199948,0.191536,0.325612,0.34476,0
0.04434374,0.065557491,0.083459792,0.181959,0.325612,0.34476,0
0.045031296,0.063445946,0.083756076,0.181959,0.325612,0.34476,0
0.045555241,0.061724027,0.083019114,0.181959,0.325612,0.34476,0
0.046452336,0.060036765,0.082965267,0.181959,0.325612,0.34476,0
0.048132262,0.058575359,0.085044987,0.181959,0.325612,0.34476,0
0.049138773,0.058448003,0.080802291,0.181959,0.325612,0.33519,0
0.049169122,0.058870172,0.080502249,0.181959,0.325612,0.33519,0
0.048445645,0.058848748,0.08823553,0.181959,0.325612,0.39265,0
0.045878679,0.059690146,0.099932691,0.181959,0.325612,0.45968,0
0.046759825,0.061042329,0.104885391,0.181959,0.325612,0.45968,0
0.051394457,0.061664554,0.10337923,0.191536,0.325612,0.45968,0
0.051314112,0.061664554,0.102538384,0.191536,0.325612,0.45968,0
0.049157542,0.061833506,0.103495358,0.191536,0.325612,0.45968,0
0.048587505,0.061833506,0.10221118,0.191536,0.325612,0.45968,0
0.048120422,0.05246312,0.102502324,0.191536,0.239421,0.45968,0
0.047354314,0.051061104,0.09614484,0.191536,0.229844,0.40222,0
0.047351893,0.054039032,0.101310317,0.191536,0.268151,0.40222,0
0.048291637,0.054214837,0.092616919,0.191536,0.268151,0.40222,0
0.043389853,0.054939533,0.100236313,0.153229,0.268151,0.40222,0
0.044550117,0.052583173,0.102084757,0.153229,0.268151,0.40222,0
0.045555265,0.059134353,0.105138664,0.153229,0.287304,0.40222,0
0.046028439,0.059828215,0.104306493,0.153229,0.287304,0.40222,0
0.048691198,0.05918087,0.104890853,0.153229,0.287304,0.40222,0
0.047235558,0.058447968,0.10570421,0.153229,0.287304,0.40222,0
0.045010954,0.058379267,0.106168691,0.153229,0.287304,0.40222,0
0.04394909,0.059211881,0.108580505,0.153229,0.287304,0.40222,0
